County_Code,County_Full,County,Population
1,Alamance County,Alamance,171346
3,Alexander County,Alexander,37441
5,Alleghany County,Alleghany,11194
7,Anson County,Anson,24097
9,Ashe County,Ashe,27166
11,Avery County,Avery,17571
13,Beaufort County,Beaufort,47073
15,Bertie County,Bertie,18712
17,Bladen County,Bladen,32911
19,Brunswick County,Brunswick,149039
21,Buncombe County,Buncombe,263477
23,Burke County,Burke,90418
25,Cabarrus County,Cabarrus,221479
27,Caldwell County,Caldwell,82100
29,Camden County,Camden,10984
31,Carteret County,Carteret,69558
33,Caswell County,Caswell,22443
35,Catawba County,Catawba,160307
37,Chatham County,Chatham,75748
39,Cherokee County,Cherokee,29073
41,Chowan County,Chowan,13815
43,Clay County,Clay,11505
45,Cleveland County,Cleveland,99035
47,Columbus County,Columbus,54754
49,Craven County,Craven,101233
51,Cumberland County,Cumberland,336364
53,Currituck County,Currituck,29052
55,Dare County,Dare,37547
57,Davidson County,Davidson,169234
59,Davie County,Davie,43286
61,Duplin County,Duplin,58794
63,Durham County,Durham,327306
65,Edgecombe County,Edgecombe,50829
67,Forsyth County,Forsyth,383843
69,Franklin County,Franklin,71859
71,Gaston County,Gaston,226568
73,Gates County,Gates,11464
75,Graham County,Graham,8474
77,Granville County,Granville,60486
79,Greene County,Greene,20928
81,Guilford County,Guilford,540521
83,Halifax County,Halifax,49479
85,Harnett County,Harnett,137058
87,Haywood County,Haywood,62972
89,Henderson County,Henderson,118445
91,Hertford County,Hertford,23108
93,Hoke County,Hoke,55830
95,Hyde County,Hyde,4843
97,Iredell County,Iredell,185770
99,Jackson County,Jackson,44033
101,Johnston County,Johnston,216246
103,Jones County,Jones,9250
105,Lee County,Lee,62353
107,Lenoir County,Lenoir,55720
109,Lincoln County,Lincoln,88097
111,McDowell County,McDowell,45782
113,Macon County,Macon,35994
115,Madison County,Madison,21740
117,Martin County,Martin,22178
119,Mecklenburg County,Mecklenburg,1128945
121,Mitchell County,Mitchell,14881
123,Montgomery County,Montgomery,27238
125,Moore County,Moore,103352
127,Nash County,Nash,94859
129,New Hanover County,New Hanover,236613
131,Northampton County,Northampton,19088
133,Onslow County,Onslow,203943
135,Orange County,Orange,149077
137,Pamlico County,Pamlico,12715
139,Pasquotank County,Pasquotank,40372
141,Pender County,Pender,64671
143,Perquimans County,Perquimans,13667
145,Person County,Person,39925
147,Pitt County,Pitt,182924
149,Polk County,Polk,21030
151,Randolph County,Randolph,144557
153,Richmond County,Richmond,44332
155,Robeson County,Robeson,129999
157,Rockingham County,Rockingham,91285
159,Rowan County,Rowan,142495
161,Rutherford County,Rutherford,67076
163,Sampson County,Sampson,63382
165,Scotland County,Scotland,34637
167,Stanly County,Stanly,63239
169,Stokes County,Stokes,45743
171,Surry County,Surry,71683
173,Swain County,Swain,14179
175,Transylvania County,Transylvania,34498
177,Tyrrell County,Tyrrell,3774
179,Union County,Union,244562
181,Vance County,Vance,44718
183,Wake County,Wake,1132271
185,Warren County,Warren,19522
187,Washington County,Washington,11485
189,Watauga County,Watauga,56441
191,Wayne County,Wayne,123967
193,Wilkes County,Wilkes,68043
195,Wilson County,Wilson,81979
197,Yadkin County,Yadkin,37625
199,Yancey County,Yancey,18099